2021-02-19 22:32:01,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…","Guayas, Ecuador",16
2021-02-19 22:19:09,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Tomorrowland ,16
2021-02-19 22:17:42,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",ECUADOR,16
2021-02-19 22:17:20,"RT @ErmelRosario: 👺BIPOLAR, PÉREZ, LANZÓ KK CON VENTILADOR, PIDE DISCULPAS Y AQUÍ NO PASA NADA🐴🐴
#NiUnVotoALaDerecha 
""Me salió la indignac…",,20
2021-02-19 22:17:09,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…","Guayaquil, Ecuador",16
2021-02-19 22:17:03,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Ecuador,16
2021-02-19 22:14:52,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Manta- Manabí,16
2021-02-19 22:14:16,"RT @ErmelRosario: 👺BIPOLAR, PÉREZ, LANZÓ KK CON VENTILADOR, PIDE DISCULPAS Y AQUÍ NO PASA NADA🐴🐴
#NiUnVotoALaDerecha 
""Me salió la indignac…",,20
2021-02-19 22:13:42,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Ecuador,16
2021-02-19 22:13:39,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Ecuador,16
2021-02-19 22:12:56,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…","Guayaquil, Ecuador",16
2021-02-19 22:11:52,"RT @CanalRTU: 🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (CREO-PSC)…",Ecuador,16
2021-02-19 22:10:41,"🔴[#ATENCIÓN] Con el 100% de actas escrutadas en la dignidad de binomio presidencial, el candidato Guillermo Lasso (… https://t.co/IlNGPZDiIy",Ecuador,16
2021-02-19 22:06:51,"RT @LaReinaDeNarnia: Doble Moral, versión #YakuPerez https://t.co/SojUqQcYWR",Quito,14
2021-02-19 21:58:22,"RT @PrimeraPlanaECU: #YakuPérez ofreció disculpas por sus declaraciones desde la sede de @PKnacional18  :""Me salió la indignación, humano s…",Guayaquil-Ecuador,13
2021-02-19 21:54:59,@eluniversocom Di ven que ese meco del yakuperez es un desgraciado,,0
2021-02-19 21:53:39,"RT @ErmelRosario: 👺BIPOLAR, PÉREZ, LANZÓ KK CON VENTILADOR, PIDE DISCULPAS Y AQUÍ NO PASA NADA🐴🐴
#NiUnVotoALaDerecha 
""Me salió la indignac…",Venezuela,20
2021-02-19 21:49:06,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,,55
2021-02-19 21:32:53,"RT @ErmelRosario: 👺BIPOLAR, PÉREZ, LANZÓ KK CON VENTILADOR, PIDE DISCULPAS Y AQUÍ NO PASA NADA🐴🐴
#NiUnVotoALaDerecha 
""Me salió la indignac…",,20
2021-02-19 21:32:09,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,Ecuador ,55
2021-02-19 21:24:26,"RT @ErmelRosario: 👺BIPOLAR, PÉREZ, LANZÓ KK CON VENTILADOR, PIDE DISCULPAS Y AQUÍ NO PASA NADA🐴🐴
#NiUnVotoALaDerecha 
""Me salió la indignac…",,20
2021-02-19 21:14:05,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,Ecuador,55
2021-02-19 21:05:44,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,"Miami, FL. USA",55
2021-02-19 20:54:30,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,Ecuador,55
2021-02-19 20:49:59,RT @ecuadorenvivo: #VIDEO Marco Antonio Arguello denuncia 'secuestro y agresiones de #YakuPérez contra líderes indígenas que no le apoyan'…,Jipijapa-Manabi,55
