,created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet,FechaFormato
461,Sun Feb 21 19:21:22 +0000 2021,Mónica Z.,@AbCarlosQuiroz @LassoGuillermo @AvanzaEc Exacto! Esa la diferencia de los que apoyamos a @LassoGuillermo frente a… https://t.co/OHbX1dchoG,,1,@abcarlosquiroz @lassoguillermo @avanzaec exacto diferencia apoyamos @lassoguillermo frente a…, abcarlosquiroz  lassoguillermo  avanzaec exacto diferencia apoyamos  lassoguillermo frente a ,Feb-21
462,Sun Feb 21 19:11:27 +0000 2021,Mariella Ibáñez,"RT @Panama_CREO21: @LassoGuillermo Desde el Ecuador y desde el exterior sus equipos de Creo,  vamos a trabajar con mucho ánimo para alcanza…",,3,"rt @panama_creo21 @lassoguillermo ecuador exterior equipos creo, vamos trabajar ánimo alcanza…",rt  panama creo21  lassoguillermo ecuador exterior equipos creo  vamos trabajar ánimo alcanza ,Feb-21
463,Sun Feb 21 19:11:11 +0000 2021,Abril02Ecuador,"RT @andre_romo: ¡Es oficial! @LassoGuillermo @ABorreroVega y el proyecto del cambio en segunda vuelta 🇪🇨🇪🇨🇪🇨

#LassoPresidente2021 
#Ecuado…",,52,rt @andre_romo oficial @lassoguillermo @aborrerovega proyecto cambio segunda vuelta 🇪🇨🇪🇨🇪🇨 #lassopresidente2021 #ecuado…,rt  andre romo oficial  lassoguillermo  aborrerovega proyecto cambio segunda vuelta         lassopresidente2021  ecuado ,Feb-21
464,Sun Feb 21 19:11:02 +0000 2021,Abril02Ecuador,"RT @JuanPHidalgoC: 🔵¡Estamos en segunda vuelta!🔵

🇪🇨  El @cnegobec debe proclamar resultados y nosotros a trabajar la SEGUNDA VUELTA🇪🇨

El…",,34,rt @juanphidalgoc 🔵estamos segunda vuelta🔵 🇪🇨 @cnegobec debe proclamar resultados trabajar segunda vuelta🇪🇨 el…,rt  juanphidalgoc  estamos segunda vuelta      cnegobec debe proclamar resultados trabajar segunda vuelta   el ,Feb-21
465,Sun Feb 21 19:10:38 +0000 2021,Abril02Ecuador,"RT @CesarMongeO: ¡Segunda vuelta! Con el 100% de actas escrutadas, esperando la proclamación oficial de los resultados.
.
.
.
 
#EcuadorCon…",,113,"rt @cesarmongeo segunda vuelta 100% actas escrutadas, esperando proclamación oficial resultados #ecuadorcon…",rt  cesarmongeo segunda vuelta 100  actas escrutadas  esperando proclamación oficial resultados  ecuadorcon ,Feb-21
466,Sun Feb 21 18:51:48 +0000 2021,Cuty,"@AbCarlosQuiroz @delfinchocolate @LassoGuillermo Bravo #LassoPresidente2021 
#RescatemosAEcuador",,0,@abcarlosquiroz @delfinchocolate @lassoguillermo bravo #lassopresidente2021 #rescatemosaecuador, abcarlosquiroz  delfinchocolate  lassoguillermo bravo  lassopresidente2021  rescatemosaecuador,Feb-21
467,Sun Feb 21 18:45:48 +0000 2021,AmmK,"Es el momento de elegir ❤️ #LassoPresidente2021 ❤️🏆🌟
#lassopresidente2021 https://t.co/qbQfK1NYNs",,0,momento elegir ❤️ #lassopresidente2021 ❤️🏆🌟 #lassopresidente2021,momento elegir     lassopresidente2021       lassopresidente2021,Feb-21
468,Sun Feb 21 18:39:39 +0000 2021,Elamarela,"@LassoSX @cnegobec @LassoGuillermo Vamos con optimismo hacia esa segunda vuelta!
#CapacidadParaCambiar
#LassoPresidente2021",,0,@lassosx @cnegobec @lassoguillermo vamos optimismo hacia segunda vuelta #capacidadparacambiar #lassopresidente2021, lassosx  cnegobec  lassoguillermo vamos optimismo hacia segunda vuelta  capacidadparacambiar  lassopresidente2021,Feb-21
469,Sun Feb 21 18:37:02 +0000 2021,Elamarela,"@joseguzmi80 #LassoPresidente2021 una vez más te guste o no, es la opción que tenemos para salvar al Ecuador del socialismo",,0,"@joseguzmi80 #lassopresidente2021 vez guste no, opción salvar ecuador socialismo", joseguzmi80  lassopresidente2021 vez guste no  opción salvar ecuador socialismo,Feb-21
470,Sun Feb 21 18:28:37 +0000 2021,Elamarela,"@Fernand07009345 Amén y que así sea
#CapacidadParaCambiar
#LassoPresidente2021 https://t.co/gFNqdDVchH",,0,@fernand07009345 amén así #capacidadparacambiar #lassopresidente2021, fernand07009345 amén así  capacidadparacambiar  lassopresidente2021,Feb-21
471,Sun Feb 21 18:27:50 +0000 2021,Elamarela,"@anmarrymu Lasso es el presidente que el Ecuador necesita.
#LassoPresidente2021 https://t.co/agcgR50jvs",,0,@anmarrymu lasso presidente ecuador necesita #lassopresidente2021, anmarrymu lasso presidente ecuador necesita  lassopresidente2021,Feb-21
472,Sun Feb 21 18:24:20 +0000 2021,JeanPierreDau,"#Ventas #Mercadito #Guayaquil #Minoxidil #Kinesiotape #Entrenamiento 
#CNEResultadosOficiales  #LassoPresidente2021… https://t.co/229HV4gWsR",,0,#ventas #mercadito #guayaquil #minoxidil #kinesiotape #entrenamiento #cneresultadosoficiales #lassopresidente2021…, ventas  mercadito  guayaquil  minoxidil  kinesiotape  entrenamiento  cneresultadosoficiales  lassopresidente2021 ,Feb-21
473,Sun Feb 21 18:20:30 +0000 2021,Jhonny Fernando Bonilla,#LassoPresidente2021 https://t.co/I5XZhghsNN,,0,#lassopresidente2021, lassopresidente2021,Feb-21
474,Sun Feb 21 18:19:56 +0000 2021,Jhonny Fernando Bonilla,#LassoPresidente2021 https://t.co/B8sRhusuCw,,0,#lassopresidente2021, lassopresidente2021,Feb-21
475,Sun Feb 21 18:19:20 +0000 2021,Juan Andrés Maldonado,"#SegundaVuelta el 11 de abril. #LassoPresidente2021 jamás será porque ya está quemado. Lástima.
Pero va por buen ca… https://t.co/mf0sE4QtCN",,0,#segundavuelta 11 abril #lassopresidente2021 jamás quemado lástima va buen ca…, segundavuelta 11 abril  lassopresidente2021 jamás quemado lástima va buen ca ,Feb-21
476,Sun Feb 21 18:13:24 +0000 2021,Ivoxtreme,RT @IsaR2019: Quieres hacer campaña por el bien del país? Para cambiar la cambiar la opinión de alguien que piensa diferente... dale razone…,,3,rt @isar2019 quieres hacer campaña bien país? cambiar cambiar opinión alguien piensa diferente dale razone…,rt  isar2019 quieres hacer campaña bien país  cambiar cambiar opinión alguien piensa diferente dale razone ,Feb-21
477,Sun Feb 21 18:02:14 +0000 2021,maritza villavicencio romero,@LuisCed70700489 @cnegobec @japazmi @lahoraecuador @eluniversocom @elcomerciocom @elmercurioec @el_telegrafo… https://t.co/q0QIv586si,,0,@luisced70700489 @cnegobec @japazmi @lahoraecuador @eluniversocom @elcomerciocom @elmercurioec @el_telegrafo…, luisced70700489  cnegobec  japazmi  lahoraecuador  eluniversocom  elcomerciocom  elmercurioec  el telegrafo ,Feb-21
478,Sun Feb 21 17:51:06 +0000 2021,Nohelia,"@AbCarlosQuiroz @yluminaty @LassoGuillermo Yo de empleado lo hago gratis, todo por saber que en el futuro seguiré t… https://t.co/cVJ4aO2F4D",,0,"@abcarlosquiroz @yluminaty @lassoguillermo empleado hago gratis, saber futuro seguiré t…", abcarlosquiroz  yluminaty  lassoguillermo empleado hago gratis  saber futuro seguiré t ,Feb-21
479,Sun Feb 21 17:44:52 +0000 2021,Marco Izurieta C.,¡Vamoooos por el cambio @LassoGuillermo y por un #ecuadorunido   Vota por @LassoGuillermo en la #SegundaVuelta… https://t.co/sqwVI80ECN,,0,vamoooos cambio @lassoguillermo #ecuadorunido vota @lassoguillermo #segundavuelta…,vamoooos cambio  lassoguillermo  ecuadorunido vota  lassoguillermo  segundavuelta ,Feb-21
480,Sun Feb 21 17:41:12 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,@CESARTERANPACH1 @migueltobarf @anabella2586 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz… https://t.co/X3dtehD6fV,,0,@cesarteranpach1 @migueltobarf @anabella2586 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz…, cesarteranpach1  migueltobarf  anabella2586  elfraudeesarauz  lassopresidente2021  elfraudeesarauz ,Feb-21
481,Sun Feb 21 17:41:07 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,#elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz #LassoPresidente2021… https://t.co/6LYf0I9aEx,,1,#elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz #lassopresidente2021…, elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021  elfraudeesarauz  lassopresidente2021 ,Feb-21
482,Sun Feb 21 17:40:33 +0000 2021,🇪🇨 Patriota Ecuador 🇪🇨,@RaulMoncayo9 @migueltobarf @FaustoCoboM3 #elFraudeEsArauz #LassoPresidente2021 #elFraudeEsArauz… https://t.co/fbXkt16fwz,,1,@raulmoncayo9 @migueltobarf @faustocobom3 #elfraudeesarauz #lassopresidente2021 #elfraudeesarauz…, raulmoncayo9  migueltobarf  faustocobom3  elfraudeesarauz  lassopresidente2021  elfraudeesarauz ,Feb-21
