created at,Usuario,Tweet,Lugar,rtCount,pre-tweet,clean_tweet
Wed Feb 17 19:14:01 +0000 2021,catal¡na,"#ColoColoAlaB #exrosmello #yakuperez #호비생일ᄎᄏ #TNTsports #DarcyLewis 
nunca más perdón 
https://t.co/SzNGe7gh3s",,0,#colocoloalab #exrosmello #yakuperez #호비생일ᄎᄏ #tntsports #darcylewis nunca perdón, colocoloalab  exrosmello  yakuperez          tntsports  darcylewis nunca perdón
Wed Feb 17 19:13:06 +0000 2021,Daniel Arbizu,"@HeribertoRinco3 Esto sería una pena, yo no quiero que mi familia viva como en Venezuela, al contrario, quiero lo m… https://t.co/WEh2aASOl7",,0,"@heribertorinco3 pena, quiero familia viva venezuela, contrario, quiero m…", heribertorinco3 pena  quiero familia viva venezuela  contrario  quiero m 
Wed Feb 17 19:11:36 +0000 2021,Sergio Coronado-Amish,Pour celles et ceux qui s’intéressent à l’Amérique latine et l’Equateur en particulier. Des élections au résultat à… https://t.co/jNgbrKQocr,,7,pour celles et ceux qui s’intéressent à l’amérique latine et l’equateur particulier des élections au résultat à…,pour celles et ceux qui s intéressent à l amérique latine et l equateur particulier des élections au résultat à 
Wed Feb 17 19:11:31 +0000 2021,Jerónimo Villarreal,No voté por #YakuPérez pero sí me hubiese gustado que pase a la segunda vuelta. Se pudo haber elevado el debate de… https://t.co/YF0aV6ikeV,,0,voté #yakupérez gustado pase segunda vuelta pudo haber elevado debate de…,voté  yakupérez gustado pase segunda vuelta pudo haber elevado debate de 
Wed Feb 17 19:06:24 +0000 2021,Alex F. Samaniego C ❁,"#CrudoHervas ya hizo un tiktok bailando en falda para reconciliar a #yakuperez y #Lasso ? 

Confirmen...  ☺️",,15,#crudohervas hizo tiktok bailando falda reconciliar #yakuperez #lasso ? confirmen ☺️, crudohervas hizo tiktok bailando falda reconciliar  yakuperez  lasso   confirmen   
Wed Feb 17 19:04:49 +0000 2021,JB👨‍🦲🇮🇹,No sea ignorante sr. @yakuperezg no borre la buena imagen que tenia por favor quien lo asesora? El loco del atico .… https://t.co/b95WtnmNlk,,0,ignorante sr @yakuperezg borre buena imagen tenia favor asesora? loco atico …,ignorante sr  yakuperezg borre buena imagen tenia favor asesora  loco atico  
Wed Feb 17 19:01:58 +0000 2021,Edy,RT @jdborbor: #YakuPerez dice que si #Lasso queda para segunda vuelta no le podrá ganar al correísmo... justo después de decir que no lo ap…,,2,rt @jdborbor #yakuperez dice si #lasso queda segunda vuelta podrá ganar correísmo justo después decir ap…,rt  jdborbor  yakuperez dice si  lasso queda segunda vuelta podrá ganar correísmo justo después decir ap 
Wed Feb 17 18:59:53 +0000 2021,Fabián Torres C,"Odio y resentimiento en sus expresiones #yakuperez  hace notar que el acuerdo solo sirve si gana el 2 puesto, enton… https://t.co/FAYNvOQD0y",,8,"odio resentimiento expresiones #yakuperez hace notar acuerdo solo sirve si gana 2 puesto, enton…",odio resentimiento expresiones  yakuperez hace notar acuerdo solo sirve si gana 2 puesto  enton 
Wed Feb 17 18:57:14 +0000 2021,Erick David Mackay-Rubio,RT @erickmacr: Lasso y Correa nos quieren hacer el #FraudeElectoral xq tienen miedo a quedar en el pasado y que sus robos al #Ecuador sean…,,1,rt @erickmacr lasso correa quieren hacer #fraudeelectoral xq miedo quedar pasado robos #ecuador sean…,rt  erickmacr lasso correa quieren hacer  fraudeelectoral xq miedo quedar pasado robos  ecuador sean 
Wed Feb 17 18:55:49 +0000 2021,Eve,"Créanme que leo cada uno de sus tuits con una funda de cangüil 🙌🍚

#Elecciones2021Ec #yakuperez https://t.co/kZkdarcdBm",,0,créanme leo cada tuits funda cangüil 🙌🍚 #elecciones2021ec #yakuperez,créanme leo cada tuits funda cang il     elecciones2021ec  yakuperez
Wed Feb 17 18:55:19 +0000 2021,Erick David Mackay-Rubio,"@Jemm890 En serio, se vuelve iguales a Correa y se pregunta el porque ninguno de los que hemos luchado en las calle… https://t.co/q8My4lATdW",,0,"@jemm890 serio, vuelve iguales correa pregunta ninguno luchado calle…", jemm890 serio  vuelve iguales correa pregunta ninguno luchado calle 
Wed Feb 17 18:54:05 +0000 2021,andres sanchez,"Lamentablemente no se toma conciencia de la pandemia en la que vivimos, esto es en lago agrio. La fiesta es primero… https://t.co/yFTXo9XZoX",,0,"lamentablemente toma conciencia pandemia vivimos, lago agrio fiesta primero…",lamentablemente toma conciencia pandemia vivimos  lago agrio fiesta primero 
Wed Feb 17 18:53:47 +0000 2021,Miguebuch,"@Kcedeno95 @zevenleo 🤣 Interesante pero la realidad supera la ficción. 

#yakuPerez es más Efialtes que Lenin Moren… https://t.co/vMwxcs6668",,0,@kcedeno95 @zevenleo 🤣 interesante realidad supera ficción #yakuperez efialtes lenin moren…, kcedeno95  zevenleo   interesante realidad supera ficción  yakuperez efialtes lenin moren 
Wed Feb 17 18:53:18 +0000 2021,Josué Esteban Miranda,"Con lo de hoy, Yaku ha dejado de ser el líder tapiñado que era y ha pasado nuevamente a ser dirigente. Entiendan, a… https://t.co/XG84mYYhGS",,0,"hoy, yaku dejado ser líder tapiñado pasado nuevamente ser dirigente entiendan, a…",hoy  yaku dejado ser líder tapiñado pasado nuevamente ser dirigente entiendan  a 
Wed Feb 17 18:50:22 +0000 2021,Erick David Mackay-Rubio,Lasso y Correa nos quieren hacer el #FraudeElectoral xq tienen miedo a quedar en el pasado y que sus robos al… https://t.co/pJdEWM2jCC,,1,lasso correa quieren hacer #fraudeelectoral xq miedo quedar pasado robos al…,lasso correa quieren hacer  fraudeelectoral xq miedo quedar pasado robos al 
